id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
6709,2026-09-06T03:54:00Z,budomierz,Budomierz,0,,0,,120,,2026-9-6,3
6707,2026-09-06T03:54:00Z,dolhobyczow,Dołhobyczów,360,,0,,0,,2026-9-6,3
6705,2026-09-06T03:54:00Z,dorohusk,Dorohusk,600,,,,60,,2026-9-6,3
6708,2026-09-06T03:54:00Z,hrebenne,Hrebenne,1140,,60,,180,,2026-9-6,3
6710,2026-09-06T03:54:00Z,korczowa,Korczowa,660,,120,,120,,2026-9-6,3
6713,2026-09-06T03:54:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-6,3
6712,2026-09-06T03:54:00Z,malhowice,Małhowice,,,0,,0,,2026-9-6,3
6711,2026-09-06T03:54:00Z,medyka,Medyka,900,,0,,120,,2026-9-6,3
6706,2026-09-06T03:54:00Z,zosin,Zosin,0,,0,,0,,2026-9-6,3
6718,2026-09-06T10:37:00Z,budomierz,Budomierz,0,,0,,0,,2026-9-6,10
6716,2026-09-06T10:37:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-9-6,10
6714,2026-09-06T10:37:00Z,dorohusk,Dorohusk,780,,,,0,,2026-9-6,10
6717,2026-09-06T10:37:00Z,hrebenne,Hrebenne,840,,0,,0,,2026-9-6,10
6719,2026-09-06T10:37:00Z,korczowa,Korczowa,540,,60,,60,,2026-9-6,10
6722,2026-09-06T10:37:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-6,10
6721,2026-09-06T10:37:00Z,malhowice,Małhowice,,,0,,0,,2026-9-6,10
6720,2026-09-06T10:37:00Z,medyka,Medyka,780,,,,,,2026-9-6,10
6715,2026-09-06T10:37:00Z,zosin,Zosin,0,,0,,0,,2026-9-6,10
6727,2026-09-06T15:14:00Z,budomierz,Budomierz,0,,0,,0,,2026-9-6,15
6725,2026-09-06T15:14:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-9-6,15
6723,2026-09-06T15:14:00Z,dorohusk,Dorohusk,420,,,,0,,2026-9-6,15
6726,2026-09-06T15:14:00Z,hrebenne,Hrebenne,660,,0,,0,,2026-9-6,15
6728,2026-09-06T15:14:00Z,korczowa,Korczowa,360,,60,,0,,2026-9-6,15
6731,2026-09-06T15:14:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-6,15
6730,2026-09-06T15:14:00Z,malhowice,Małhowice,,,0,,0,,2026-9-6,15
6729,2026-09-06T15:14:00Z,medyka,Medyka,780,,,,,,2026-9-6,15
6724,2026-09-06T15:14:00Z,zosin,Zosin,0,,0,,0,,2026-9-6,15
6736,2026-09-06T20:13:00Z,budomierz,Budomierz,0,,0,,0,,2026-9-6,20
6734,2026-09-06T20:13:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-9-6,20
6732,2026-09-06T20:13:00Z,dorohusk,Dorohusk,480,,,,0,,2026-9-6,20
6735,2026-09-06T20:13:00Z,hrebenne,Hrebenne,660,,0,,0,,2026-9-6,20
6737,2026-09-06T20:13:00Z,korczowa,Korczowa,360,,60,,0,,2026-9-6,20
6740,2026-09-06T20:13:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-6,20
6739,2026-09-06T20:13:00Z,malhowice,Małhowice,,,0,,0,,2026-9-6,20
6738,2026-09-06T20:13:00Z,medyka,Medyka,480,,0,,0,,2026-9-6,20
6733,2026-09-06T20:13:00Z,zosin,Zosin,0,,0,,0,,2026-9-6,20
