id,scraped_at,crossing_id,crossing_name,echerha_id,echerha_title,vehicle_class,vehicle_type,queue_flow,is_paused,virtual_wait_s,vehicles_waiting,free_slots,slots_units_left,tooltip,country_id,carrier_type
46729,2026-08-06T03:27:00Z,budomierz,Budomierz,88,"Грушів – Будомєж (для вантажівок ≤ 7,5 тонн)",truck_le_7_5t,1,1,1,5280,13,,,,133,1
46744,2026-08-06T03:27:00Z,budomierz,Budomierz,104,Грушів – Будомєж. Автобуси (за розкладом),bus,2,2,0,,,9,9,,133,2
46736,2026-08-06T03:27:00Z,dolhobyczow,Dołhobyczów,31,"Угринів – Долгобичув (для порожніх вантажівок ≥ 7,5 тонн)",truck_empty,1,1,0,169200,191,,,,133,1
46749,2026-08-06T03:27:00Z,dolhobyczow,Dołhobyczów,76,Угринів – Долгобичув. Автобуси (за розкладом),bus,2,2,0,,,19,19,,133,2
46735,2026-08-06T03:27:00Z,dolhobyczow,Dołhobyczów,98,"Угринів – Долгобичув (для вантажівок ≥ 3,5 тонн до ≤ 7,5 тонн)",truck_le_7_5t,1,1,0,76440,93,,,,133,1
46741,2026-08-06T03:27:00Z,dorohusk,Dorohusk,1,"Ягодин – Дорогуськ (для вантажівок ≥ 7,5 тонн)",truck_ge_7_5t,1,1,1,563220,1366,,,,133,1
46743,2026-08-06T03:27:00Z,dorohusk,Dorohusk,2,"Ягодин – Дорогуськ. Товари 1-24 групи УКТЗЕД (≥ 7,5 тонн)",truck_goods_1_24,1,1,0,0,5,,,,133,1
46742,2026-08-06T03:27:00Z,dorohusk,Dorohusk,29,"Ягодин – Дорогуськ (для порожніх вантажівок ≥ 7,5 тонн)",truck_empty,1,1,1,145800,510,,,,133,1
46752,2026-08-06T03:27:00Z,dorohusk,Dorohusk,54,Ягодин – Дорогуськ. Автобуси (за розкладом),bus,2,2,0,,,23,23,,133,2
46732,2026-08-06T03:27:00Z,hrebenne,Hrebenne,5,"Рава-Руська – Хребенне (для вантажівок ≥ 7,5 тонн)",truck_ge_7_5t,1,1,1,194940,374,,,,133,1
46733,2026-08-06T03:27:00Z,hrebenne,Hrebenne,19,"Рава-Руська – Хребенне. Товари 1-24 групи УКТЗЕД (≥ 7,5 тонн)",truck_goods_1_24,1,1,1,92820,97,,,,133,1
46747,2026-08-06T03:27:00Z,hrebenne,Hrebenne,78,Рава-Руська – Хребенне. Автобуси (за розкладом),bus,2,2,0,,,14,14,,133,2
46730,2026-08-06T03:27:00Z,korczowa,Korczowa,6,"Краківець – Корчова (для вантажівок ≥ 7,5 тонн)",truck_ge_7_5t,1,1,1,131460,331,,,,133,1
46731,2026-08-06T03:27:00Z,korczowa,Korczowa,20,"Краківець – Корчова. Товари 1-24 групи УКТЗЕД (≥ 7,5 тонн)",truck_goods_1_24,1,1,0,95040,138,,,,133,1
46745,2026-08-06T03:27:00Z,korczowa,Korczowa,23,Краківець – Корчова. Автобуси,bus,2,1,0,0,19,,,,133,2
46748,2026-08-06T03:27:00Z,kroscienko,Krościenko,75,Смільниця – Кросьценко. Автобуси (за розкладом),bus,2,2,0,,,24,24,,133,2
46734,2026-08-06T03:27:00Z,kroscienko,Krościenko,84,"Смільниця – Кросьценко (для вантажівок ≤ 7,5 тонн)",truck_le_7_5t,1,1,0,0,0,,,На пункті пропуску тимчасово не оформлюються ТЗ з вантажем. Просимо завантажені авто обирати інші ММПП для перетину.,133,1
46746,2026-08-06T03:27:00Z,malhowice,Małhowice,102,Нижанковичі – Мальховичі. Автобуси (за розкладом),bus,2,2,0,,,12,12,,133,2
46739,2026-08-06T03:27:00Z,medyka,Medyka,8,"Шегині – Медика (для вантажівок ≥ 7,5 тонн)",truck_ge_7_5t,1,1,0,380460,374,,,,133,1
46751,2026-08-06T03:27:00Z,medyka,Medyka,24,Шегині - Медика. Автобуси,bus,2,1,0,0,7,,,Ускладнений рух у зв'язку з ремонтними роботами на ММПП,133,2
46740,2026-08-06T03:27:00Z,medyka,Medyka,91,"Шегині – Медика (для порожніх вантажівок ≥ 3,5 тонн)",truck_empty,1,1,0,389760,464,,,,133,1
46738,2026-08-06T03:27:00Z,zosin,Zosin,7,"Устилуг – Зосин (для порожніх вантажівок ≥ 7,5 тонн)",truck_empty,1,1,0,129600,188,,,,133,1
46737,2026-08-06T03:27:00Z,zosin,Zosin,80,"Устилуг – Зосин (для вантажівок ≤ 7,5 тонн)",truck_le_7_5t,1,1,0,85020,113,,,,133,1
46750,2026-08-06T03:27:00Z,zosin,Zosin,113,Устилуг - Зосин. Автобуси (за розкладом),bus,2,2,0,,,17,17,,133,2
