id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
1889,2026-07-01T02:00:00Z,budomierz,Budomierz,60,,30,,30,,2026-7-1,2
1887,2026-07-01T02:00:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-7-1,2
1885,2026-07-01T02:00:00Z,dorohusk,Dorohusk,480,,,,180,,2026-7-1,2
1888,2026-07-01T02:00:00Z,hrebenne,Hrebenne,360,,0,,120,,2026-7-1,2
1890,2026-07-01T02:00:00Z,korczowa,Korczowa,120,,60,,180,,2026-7-1,2
1893,2026-07-01T02:00:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-1,2
1892,2026-07-01T02:00:00Z,malhowice,Małhowice,,,0,,0,,2026-7-1,2
1891,2026-07-01T02:00:00Z,medyka,Medyka,120,,,,,,2026-7-1,2
1886,2026-07-01T02:00:00Z,zosin,Zosin,120,,0,,120,,2026-7-1,2
1898,2026-07-01T04:20:00Z,budomierz,Budomierz,0,,60,,180,,2026-7-1,4
1896,2026-07-01T04:20:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-7-1,4
1894,2026-07-01T04:20:00Z,dorohusk,Dorohusk,660,,,,180,,2026-7-1,4
1897,2026-07-01T04:20:00Z,hrebenne,Hrebenne,420,,0,,120,,2026-7-1,4
1899,2026-07-01T04:20:00Z,korczowa,Korczowa,120,,120,,300,,2026-7-1,4
1902,2026-07-01T04:20:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-1,4
1901,2026-07-01T04:20:00Z,malhowice,Małhowice,,,0,,0,,2026-7-1,4
1900,2026-07-01T04:20:00Z,medyka,Medyka,180,,,,360,,2026-7-1,4
1895,2026-07-01T04:20:00Z,zosin,Zosin,120,,60,,60,,2026-7-1,4
1907,2026-07-01T05:00:00Z,budomierz,Budomierz,0,,60,,180,,2026-7-1,5
1905,2026-07-01T05:00:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-7-1,5
1903,2026-07-01T05:00:00Z,dorohusk,Dorohusk,660,,,,180,,2026-7-1,5
