id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
209,2026-06-16T02:00:00Z,budomierz,Budomierz,0,,0,,60,,2026-6-16,2
207,2026-06-16T02:00:00Z,dolhobyczow,Dołhobyczów,60,,0,,0,,2026-6-16,2
205,2026-06-16T02:00:00Z,dorohusk,Dorohusk,,,,,,,2026-6-16,2
208,2026-06-16T02:00:00Z,hrebenne,Hrebenne,120,,0,,60,,2026-6-16,2
210,2026-06-16T02:00:00Z,korczowa,Korczowa,120,,60,,240,,2026-6-16,2
213,2026-06-16T02:00:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-16,2
212,2026-06-16T02:00:00Z,malhowice,Małhowice,,,0,,0,,2026-6-16,2
211,2026-06-16T02:00:00Z,medyka,Medyka,420,,0,,0,,2026-6-16,2
206,2026-06-16T02:00:00Z,zosin,Zosin,0,,0,,0,,2026-6-16,2
218,2026-06-16T04:59:00Z,budomierz,Budomierz,0,,0,,0,,2026-6-16,4
216,2026-06-16T04:59:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-6-16,4
214,2026-06-16T04:59:00Z,dorohusk,Dorohusk,600,,,,0,,2026-6-16,4
217,2026-06-16T04:59:00Z,hrebenne,Hrebenne,120,,0,,30,,2026-6-16,4
219,2026-06-16T04:59:00Z,korczowa,Korczowa,240,,60,,120,,2026-6-16,4
222,2026-06-16T04:59:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-16,4
221,2026-06-16T04:59:00Z,malhowice,Małhowice,,,0,,0,,2026-6-16,4
220,2026-06-16T04:59:00Z,medyka,Medyka,420,,0,,0,,2026-6-16,4
215,2026-06-16T04:59:00Z,zosin,Zosin,0,,0,,0,,2026-6-16,4
