id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
2834,2026-07-10T02:01:00Z,budomierz,Budomierz,,,,,,,2026-7-10,2
2832,2026-07-10T02:01:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-7-10,2
2830,2026-07-10T02:01:00Z,dorohusk,Dorohusk,420,,,,180,,2026-7-10,2
2833,2026-07-10T02:01:00Z,hrebenne,Hrebenne,600,,0,,60,,2026-7-10,2
2835,2026-07-10T02:01:00Z,korczowa,Korczowa,120,,120,,360,,2026-7-10,2
2838,2026-07-10T02:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,2
2837,2026-07-10T02:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,2
2836,2026-07-10T02:01:00Z,medyka,Medyka,420,,0,,60,,2026-7-10,2
2831,2026-07-10T02:01:00Z,zosin,Zosin,0,,0,,0,,2026-7-10,2
2843,2026-07-10T03:48:00Z,budomierz,Budomierz,180,,0,,60,,2026-7-10,3
2841,2026-07-10T03:48:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-7-10,3
2839,2026-07-10T03:48:00Z,dorohusk,Dorohusk,420,,,,180,,2026-7-10,3
2842,2026-07-10T03:48:00Z,hrebenne,Hrebenne,600,,0,,60,,2026-7-10,3
2844,2026-07-10T03:48:00Z,korczowa,Korczowa,120,,120,,360,,2026-7-10,3
2847,2026-07-10T03:48:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,3
2846,2026-07-10T03:48:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,3
2845,2026-07-10T03:48:00Z,medyka,Medyka,420,,0,,60,,2026-7-10,3
2840,2026-07-10T03:48:00Z,zosin,Zosin,0,,0,,0,,2026-7-10,3
2852,2026-07-10T05:01:00Z,budomierz,Budomierz,180,,0,,120,,2026-7-10,5
2850,2026-07-10T05:01:00Z,dolhobyczow,Dołhobyczów,60,,0,,0,,2026-7-10,5
2848,2026-07-10T05:01:00Z,dorohusk,Dorohusk,660,,,,120,,2026-7-10,5
2851,2026-07-10T05:01:00Z,hrebenne,Hrebenne,900,,0,,0,,2026-7-10,5
2853,2026-07-10T05:01:00Z,korczowa,Korczowa,120,,120,,120,,2026-7-10,5
2856,2026-07-10T05:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,5
2855,2026-07-10T05:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,5
2854,2026-07-10T05:01:00Z,medyka,Medyka,480,,0,,60,,2026-7-10,5
2849,2026-07-10T05:01:00Z,zosin,Zosin,60,,0,,60,,2026-7-10,5
2861,2026-07-10T08:01:00Z,budomierz,Budomierz,180,,0,,60,,2026-7-10,8
2859,2026-07-10T08:01:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,8
2857,2026-07-10T08:01:00Z,dorohusk,Dorohusk,780,,,,60,,2026-7-10,8
2860,2026-07-10T08:01:00Z,hrebenne,Hrebenne,840,,0,,0,,2026-7-10,8
2862,2026-07-10T08:01:00Z,korczowa,Korczowa,180,,60,,120,,2026-7-10,8
2865,2026-07-10T08:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,8
2864,2026-07-10T08:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,8
2863,2026-07-10T08:01:00Z,medyka,Medyka,180,,0,,0,,2026-7-10,8
2858,2026-07-10T08:01:00Z,zosin,Zosin,60,,0,,0,,2026-7-10,8
2870,2026-07-10T09:44:00Z,budomierz,Budomierz,180,,0,,60,,2026-7-10,9
2868,2026-07-10T09:44:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,9
2866,2026-07-10T09:44:00Z,dorohusk,Dorohusk,780,,,,60,,2026-7-10,9
2869,2026-07-10T09:44:00Z,hrebenne,Hrebenne,840,,0,,0,,2026-7-10,9
2871,2026-07-10T09:44:00Z,korczowa,Korczowa,180,,60,,120,,2026-7-10,9
2874,2026-07-10T09:44:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,9
2873,2026-07-10T09:44:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,9
2872,2026-07-10T09:44:00Z,medyka,Medyka,180,,0,,0,,2026-7-10,9
2867,2026-07-10T09:44:00Z,zosin,Zosin,60,,0,,0,,2026-7-10,9
