id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
2834,2026-07-10T02:01:00Z,budomierz,Budomierz,,,,,,,2026-7-10,2
2832,2026-07-10T02:01:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-7-10,2
2830,2026-07-10T02:01:00Z,dorohusk,Dorohusk,420,,,,180,,2026-7-10,2
2833,2026-07-10T02:01:00Z,hrebenne,Hrebenne,600,,0,,60,,2026-7-10,2
2835,2026-07-10T02:01:00Z,korczowa,Korczowa,120,,120,,360,,2026-7-10,2
2838,2026-07-10T02:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,2
2837,2026-07-10T02:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,2
2836,2026-07-10T02:01:00Z,medyka,Medyka,420,,0,,60,,2026-7-10,2
2831,2026-07-10T02:01:00Z,zosin,Zosin,0,,0,,0,,2026-7-10,2
2843,2026-07-10T03:48:00Z,budomierz,Budomierz,180,,0,,60,,2026-7-10,3
2841,2026-07-10T03:48:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-7-10,3
2839,2026-07-10T03:48:00Z,dorohusk,Dorohusk,420,,,,180,,2026-7-10,3
2842,2026-07-10T03:48:00Z,hrebenne,Hrebenne,600,,0,,60,,2026-7-10,3
2844,2026-07-10T03:48:00Z,korczowa,Korczowa,120,,120,,360,,2026-7-10,3
2847,2026-07-10T03:48:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,3
2846,2026-07-10T03:48:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,3
2845,2026-07-10T03:48:00Z,medyka,Medyka,420,,0,,60,,2026-7-10,3
2840,2026-07-10T03:48:00Z,zosin,Zosin,0,,0,,0,,2026-7-10,3
2852,2026-07-10T05:01:00Z,budomierz,Budomierz,180,,0,,120,,2026-7-10,5
2850,2026-07-10T05:01:00Z,dolhobyczow,Dołhobyczów,60,,0,,0,,2026-7-10,5
2848,2026-07-10T05:01:00Z,dorohusk,Dorohusk,660,,,,120,,2026-7-10,5
2851,2026-07-10T05:01:00Z,hrebenne,Hrebenne,900,,0,,0,,2026-7-10,5
2853,2026-07-10T05:01:00Z,korczowa,Korczowa,120,,120,,120,,2026-7-10,5
2856,2026-07-10T05:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,5
2855,2026-07-10T05:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,5
2854,2026-07-10T05:01:00Z,medyka,Medyka,480,,0,,60,,2026-7-10,5
2849,2026-07-10T05:01:00Z,zosin,Zosin,60,,0,,60,,2026-7-10,5
2861,2026-07-10T08:01:00Z,budomierz,Budomierz,180,,0,,60,,2026-7-10,8
2859,2026-07-10T08:01:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,8
2857,2026-07-10T08:01:00Z,dorohusk,Dorohusk,780,,,,60,,2026-7-10,8
2860,2026-07-10T08:01:00Z,hrebenne,Hrebenne,840,,0,,0,,2026-7-10,8
2862,2026-07-10T08:01:00Z,korczowa,Korczowa,180,,60,,120,,2026-7-10,8
2865,2026-07-10T08:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,8
2864,2026-07-10T08:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,8
2863,2026-07-10T08:01:00Z,medyka,Medyka,180,,0,,0,,2026-7-10,8
2858,2026-07-10T08:01:00Z,zosin,Zosin,60,,0,,0,,2026-7-10,8
2870,2026-07-10T09:44:00Z,budomierz,Budomierz,180,,0,,60,,2026-7-10,9
2868,2026-07-10T09:44:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,9
2866,2026-07-10T09:44:00Z,dorohusk,Dorohusk,780,,,,60,,2026-7-10,9
2869,2026-07-10T09:44:00Z,hrebenne,Hrebenne,840,,0,,0,,2026-7-10,9
2871,2026-07-10T09:44:00Z,korczowa,Korczowa,180,,60,,120,,2026-7-10,9
2874,2026-07-10T09:44:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,9
2873,2026-07-10T09:44:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,9
2872,2026-07-10T09:44:00Z,medyka,Medyka,180,,0,,0,,2026-7-10,9
2867,2026-07-10T09:44:00Z,zosin,Zosin,60,,0,,0,,2026-7-10,9
2879,2026-07-10T11:01:00Z,budomierz,Budomierz,60,,0,,0,,2026-7-10,11
2877,2026-07-10T11:01:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,11
2875,2026-07-10T11:01:00Z,dorohusk,Dorohusk,660,,,,0,,2026-7-10,11
2878,2026-07-10T11:01:00Z,hrebenne,Hrebenne,780,,0,,0,,2026-7-10,11
2880,2026-07-10T11:01:00Z,korczowa,Korczowa,180,,0,,0,,2026-7-10,11
2883,2026-07-10T11:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,11
2882,2026-07-10T11:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,11
2881,2026-07-10T11:01:00Z,medyka,Medyka,240,,0,,0,,2026-7-10,11
2876,2026-07-10T11:01:00Z,zosin,Zosin,30,,0,,0,,2026-7-10,11
2888,2026-07-10T14:01:00Z,budomierz,Budomierz,0,,0,,0,,2026-7-10,14
2886,2026-07-10T14:01:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,14
2884,2026-07-10T14:01:00Z,dorohusk,Dorohusk,840,,,,,,2026-7-10,14
2887,2026-07-10T14:01:00Z,hrebenne,Hrebenne,780,,0,,0,,2026-7-10,14
2889,2026-07-10T14:01:00Z,korczowa,Korczowa,240,,0,,0,,2026-7-10,14
2892,2026-07-10T14:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,14
2891,2026-07-10T14:01:00Z,malhowice,Małhowice,,,,,,,2026-7-10,14
2890,2026-07-10T14:01:00Z,medyka,Medyka,300,,0,,0,,2026-7-10,14
2885,2026-07-10T14:01:00Z,zosin,Zosin,0,,0,,0,,2026-7-10,14
2897,2026-07-10T14:38:00Z,budomierz,Budomierz,0,,0,,0,,2026-7-10,14
2895,2026-07-10T14:38:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,14
2893,2026-07-10T14:38:00Z,dorohusk,Dorohusk,780,,,,0,,2026-7-10,14
2896,2026-07-10T14:38:00Z,hrebenne,Hrebenne,780,,0,,0,,2026-7-10,14
2898,2026-07-10T14:38:00Z,korczowa,Korczowa,240,,0,,0,,2026-7-10,14
2901,2026-07-10T14:38:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,14
2900,2026-07-10T14:38:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,14
2899,2026-07-10T14:38:00Z,medyka,Medyka,300,,0,,0,,2026-7-10,14
2894,2026-07-10T14:38:00Z,zosin,Zosin,0,,0,,0,,2026-7-10,14
2906,2026-07-10T17:00:00Z,budomierz,Budomierz,60,,0,,0,,2026-7-10,17
2904,2026-07-10T17:00:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,17
2902,2026-07-10T17:00:00Z,dorohusk,Dorohusk,720,,,,,,2026-7-10,17
2905,2026-07-10T17:00:00Z,hrebenne,Hrebenne,960,,0,,0,,2026-7-10,17
2907,2026-07-10T17:00:00Z,korczowa,Korczowa,480,,0,,0,,2026-7-10,17
2910,2026-07-10T17:00:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,17
2909,2026-07-10T17:00:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,17
2908,2026-07-10T17:00:00Z,medyka,Medyka,300,,0,,0,,2026-7-10,17
2903,2026-07-10T17:00:00Z,zosin,Zosin,60,,60,,0,,2026-7-10,17
2915,2026-07-10T17:01:00Z,budomierz,Budomierz,60,,0,,0,,2026-7-10,17
2913,2026-07-10T17:01:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,17
2911,2026-07-10T17:01:00Z,dorohusk,Dorohusk,720,,,,,,2026-7-10,17
2914,2026-07-10T17:01:00Z,hrebenne,Hrebenne,960,,0,,0,,2026-7-10,17
2916,2026-07-10T17:01:00Z,korczowa,Korczowa,480,,0,,0,,2026-7-10,17
2919,2026-07-10T17:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-10,17
2918,2026-07-10T17:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,17
2917,2026-07-10T17:01:00Z,medyka,Medyka,300,,0,,0,,2026-7-10,17
2912,2026-07-10T17:01:00Z,zosin,Zosin,60,,60,,0,,2026-7-10,17
2924,2026-07-10T19:39:00Z,budomierz,Budomierz,0,,0,,0,,2026-7-10,19
2922,2026-07-10T19:39:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,19
2920,2026-07-10T19:39:00Z,dorohusk,Dorohusk,1080,,,,0,,2026-7-10,19
2923,2026-07-10T19:39:00Z,hrebenne,Hrebenne,960,,0,,0,,2026-7-10,19
2925,2026-07-10T19:39:00Z,korczowa,Korczowa,600,,0,,0,,2026-7-10,19
2928,2026-07-10T19:39:00Z,kroscienko,Krościenko,60,,0,,0,,2026-7-10,19
2927,2026-07-10T19:39:00Z,malhowice,Małhowice,,,30,,0,,2026-7-10,19
2926,2026-07-10T19:39:00Z,medyka,Medyka,300,,0,,0,,2026-7-10,19
2921,2026-07-10T19:39:00Z,zosin,Zosin,60,,60,,0,,2026-7-10,19
2933,2026-07-10T22:10:00Z,budomierz,Budomierz,0,,0,,0,,2026-7-10,22
2931,2026-07-10T22:10:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-7-10,22
2929,2026-07-10T22:10:00Z,dorohusk,Dorohusk,1080,,,,0,,2026-7-10,22
2932,2026-07-10T22:10:00Z,hrebenne,Hrebenne,960,,0,,0,,2026-7-10,22
2934,2026-07-10T22:10:00Z,korczowa,Korczowa,600,,0,,0,,2026-7-10,22
2937,2026-07-10T22:10:00Z,kroscienko,Krościenko,60,,0,,0,,2026-7-10,22
2936,2026-07-10T22:10:00Z,malhowice,Małhowice,,,30,,0,,2026-7-10,22
2935,2026-07-10T22:10:00Z,medyka,Medyka,300,,0,,0,,2026-7-10,22
2930,2026-07-10T22:10:00Z,zosin,Zosin,60,,60,,0,,2026-7-10,22
2942,2026-07-10T23:01:00Z,budomierz,Budomierz,180,,0,,0,,2026-7-10,23
2940,2026-07-10T23:01:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-7-10,23
2938,2026-07-10T23:01:00Z,dorohusk,Dorohusk,600,,,,0,,2026-7-10,23
2941,2026-07-10T23:01:00Z,hrebenne,Hrebenne,660,,0,,120,,2026-7-10,23
2943,2026-07-10T23:01:00Z,korczowa,Korczowa,180,,60,,180,,2026-7-10,23
2946,2026-07-10T23:01:00Z,kroscienko,Krościenko,120,,0,,0,,2026-7-10,23
2945,2026-07-10T23:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-10,23
2944,2026-07-10T23:01:00Z,medyka,Medyka,420,,0,,0,,2026-7-10,23
2939,2026-07-10T23:01:00Z,zosin,Zosin,0,,0,,0,,2026-7-10,23
