id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
2186,2026-07-04T02:01:00Z,budomierz,Budomierz,60,,0,,0,,2026-7-4,2
2184,2026-07-04T02:01:00Z,dolhobyczow,Dołhobyczów,180,,30,,0,,2026-7-4,2
2182,2026-07-04T02:01:00Z,dorohusk,Dorohusk,900,,,,240,,2026-7-4,2
2185,2026-07-04T02:01:00Z,hrebenne,Hrebenne,840,,0,,120,,2026-7-4,2
2187,2026-07-04T02:01:00Z,korczowa,Korczowa,120,,60,,180,,2026-7-4,2
2190,2026-07-04T02:01:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-4,2
2189,2026-07-04T02:01:00Z,malhowice,Małhowice,,,0,,0,,2026-7-4,2
2188,2026-07-04T02:01:00Z,medyka,Medyka,360,,0,,0,,2026-7-4,2
2183,2026-07-04T02:01:00Z,zosin,Zosin,120,,60,,0,,2026-7-4,2
2195,2026-07-04T03:37:00Z,budomierz,Budomierz,60,,0,,0,,2026-7-4,3
2193,2026-07-04T03:37:00Z,dolhobyczow,Dołhobyczów,180,,30,,0,,2026-7-4,3
2191,2026-07-04T03:37:00Z,dorohusk,Dorohusk,900,,,,240,,2026-7-4,3
2194,2026-07-04T03:37:00Z,hrebenne,Hrebenne,840,,0,,120,,2026-7-4,3
2196,2026-07-04T03:37:00Z,korczowa,Korczowa,120,,60,,180,,2026-7-4,3
2199,2026-07-04T03:37:00Z,kroscienko,Krościenko,0,,0,,0,,2026-7-4,3
2198,2026-07-04T03:37:00Z,malhowice,Małhowice,,,0,,0,,2026-7-4,3
2197,2026-07-04T03:37:00Z,medyka,Medyka,360,,0,,0,,2026-7-4,3
2192,2026-07-04T03:37:00Z,zosin,Zosin,120,,60,,0,,2026-7-4,3
2204,2026-07-04T05:01:00Z,budomierz,Budomierz,0,,0,,120,,2026-7-4,5
2202,2026-07-04T05:01:00Z,dolhobyczow,Dołhobyczów,120,,30,,0,,2026-7-4,5
2200,2026-07-04T05:01:00Z,dorohusk,Dorohusk,1380,,,,240,,2026-7-4,5
