id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
6403,2026-08-30T04:45:00Z,budomierz,Budomierz,0,,0,,60,,2026-8-30,4
6401,2026-08-30T04:45:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-8-30,4
6399,2026-08-30T04:45:00Z,dorohusk,Dorohusk,720,,,,120,,2026-8-30,4
6402,2026-08-30T04:45:00Z,hrebenne,Hrebenne,1080,,120,,180,,2026-8-30,4
6404,2026-08-30T04:45:00Z,korczowa,Korczowa,480,,120,,300,,2026-8-30,4
6407,2026-08-30T04:45:00Z,kroscienko,Krościenko,0,,0,,0,,2026-8-30,4
6406,2026-08-30T04:45:00Z,malhowice,Małhowice,,,0,,0,,2026-8-30,4
6405,2026-08-30T04:45:00Z,medyka,Medyka,660,,60,,480,,2026-8-30,4
6400,2026-08-30T04:45:00Z,zosin,Zosin,0,,0,,0,,2026-8-30,4
6412,2026-08-30T11:37:00Z,budomierz,Budomierz,0,,0,,0,,2026-8-30,11
6410,2026-08-30T11:37:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-8-30,11
6408,2026-08-30T11:37:00Z,dorohusk,Dorohusk,600,,,,30,,2026-8-30,11
6411,2026-08-30T11:37:00Z,hrebenne,Hrebenne,1020,,0,,0,,2026-8-30,11
6413,2026-08-30T11:37:00Z,korczowa,Korczowa,480,,60,,240,,2026-8-30,11
6416,2026-08-30T11:37:00Z,kroscienko,Krościenko,0,,0,,0,,2026-8-30,11
6415,2026-08-30T11:37:00Z,malhowice,Małhowice,,,0,,0,,2026-8-30,11
6414,2026-08-30T11:37:00Z,medyka,Medyka,480,,60,,180,,2026-8-30,11
6409,2026-08-30T11:37:00Z,zosin,Zosin,0,,0,,0,,2026-8-30,11
